days_since_last_booking,days_since_first_booking,months_as_client,total_bookings,bookings_last_30_days,bookings_last_90_days,bookings_last_180_days,avg_days_between_bookings,max_gap_between_bookings,booking_frequency_trend,total_revenue,avg_booking_value,max_booking_value,total_participants,avg_participants_per_booking,revenue_last_90_days,revenue_trend,avg_overall_rating,avg_nps_score,avg_trainer_rating,latest_rating,min_rating_ever,has_given_feedback,rating_trend,num_course_categories,num_unique_courses,category_diversity_score,total_communications,communications_last_90_days,avg_communications_per_booking,industry_encoded,company_size_encoded,region_encoded,account_manager_encoded
1328.0,1781.0,59.36666666666667,14.0,0.0,0.0,0.0,34.84615384615385,51.0,0.0,1239895.0,88563.92857142857,125700.0,233.0,16.642857142857142,0.0,0.12099414624466705,4.35,8.4,4.609999999999999,4.6,3.8,1.0,0.013888888888888798,8.0,13.0,2.8962915290459277,30.0,1.0,2.142857142857143,10,1,3,2
427.0,1414.0,47.13333333333333,19.0,0.0,0.0,0.0,54.833333333333336,66.0,0.1111111111111111,2342522.0,123290.63157894737,245800.0,362.0,19.05263157894737,0.0,-0.07570221717268297,4.5,8.625,4.59375,4.8,3.7,1.0,0.06896551724137948,10.0,17.0,3.11583409216322,58.0,2.0,3.0526315789473686,9,1,5,2
1602.0,1668.0,55.6,4.0,0.0,0.0,0.0,22.0,39.0,-0.6666666666666666,505785.0,126446.25,163200.0,93.0,23.25,0.0,-0.26815613764766305,4.033333333333333,6.0,4.1000000000000005,5.0,3.4,1.0,0.2794117647058823,3.0,3.0,1.5,11.0,1.0,2.75,9,0,2,0
747.0,1506.0,50.2,15.0,0.0,0.0,0.0,54.214285714285715,69.0,-0.125,914914.0,60994.26666666667,137452.0,131.0,8.733333333333333,0.0,0.1977709710995231,4.138461538461538,7.538461538461538,4.2,4.3,3.4,1.0,0.08860759493670864,7.0,12.0,2.739572261986723,20.0,2.0,1.3333333333333333,8,2,1,1
271.0,271.0,9.033333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,135828.0,135828.0,135828.0,18.0,18.0,0.0,0.0,4.1,8.0,4.4,4.1,4.1,1.0,0.0,1.0,1.0,0.0,4.0,3.0,4.0,11,0,2,3
60.0,538.0,17.933333333333334,11.0,0.0,1.0,3.0,47.8,55.0,0.2,405881.0,36898.27272727273,73392.0,62.0,5.636363636363637,68715.0,0.38338914994898965,4.430000000000001,8.6,4.59,3.6,3.6,1.0,-0.09051724137931032,7.0,10.0,2.6635327548042547,12.0,4.0,1.0909090909090908,9,3,2,2
338.0,840.0,28.0,10.0,0.0,0.0,0.0,55.77777777777778,72.0,0.0,491613.0,49161.3,107433.0,60.0,6.0,0.0,0.2193916246817271,4.185714285714286,7.285714285714286,4.328571428571429,3.8,3.4,1.0,-0.05961538461538451,7.0,10.0,2.721928094887362,35.0,9.0,3.5,10,3,2,2
439.0,958.0,31.933333333333334,7.0,0.0,0.0,0.0,86.5,100.0,-0.25,297799.0,42542.71428571428,89215.0,38.0,5.428571428571429,0.0,1.21541663347407,4.1571428571428575,8.428571428571429,4.457142857142857,4.4,3.6,1.0,-0.003999999999999985,5.0,6.0,2.2359263506290326,9.0,0.0,1.2857142857142858,4,3,1,2
144.0,650.0,21.666666666666668,8.0,0.0,0.0,1.0,72.28571428571429,85.0,0.0,938029.0,117253.625,217980.0,150.0,18.75,0.0,0.3082047004225016,4.285714285714286,8.285714285714286,4.428571428571429,4.1,4.0,1.0,-0.07089552238805946,6.0,7.0,2.4056390622295662,29.0,8.0,3.625,4,1,0,3
31.0,108.0,3.6,2.0,0.0,1.0,2.0,77.0,77.0,0.0,345575.0,172787.5,183000.0,49.0,24.5,183000.0,0.0,4.35,8.5,4.6,4.5,4.2,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,8,0,2,3
127.0,742.0,24.733333333333334,9.0,0.0,0.0,1.0,76.875,89.0,0.25,380553.0,42283.666666666664,88522.0,54.0,6.0,0.0,-0.41616461893008605,4.2875,7.75,4.3125,4.0,3.3,1.0,-0.1459459459459459,7.0,9.0,2.725480556997868,18.0,2.0,2.0,13,3,2,4
483.0,1130.0,37.666666666666664,6.0,0.0,0.0,0.0,129.4,132.0,0.0,1207427.0,201237.83333333334,402526.0,154.0,25.666666666666668,0.0,-0.6640240589790203,4.28,8.4,4.4,3.8,3.8,1.0,0.05220883534136549,6.0,6.0,2.584962500721156,14.0,2.0,2.3333333333333335,2,0,1,3
884.0,1224.0,40.8,9.0,0.0,0.0,0.0,42.5,56.0,-0.2,347138.0,38570.88888888889,57882.0,53.0,5.888888888888889,0.0,0.11859174974265435,4.3999999999999995,8.857142857142858,4.5285714285714285,3.6,3.6,1.0,-0.07608695652173907,8.0,8.0,2.94770277922009,18.0,4.0,2.0,9,3,1,1
