client_id,days_since_last_booking,days_since_first_booking,months_as_client,total_bookings,bookings_last_30_days,bookings_last_90_days,bookings_last_180_days,avg_days_between_bookings,max_gap_between_bookings,booking_frequency_trend,total_revenue,avg_booking_value,max_booking_value,total_participants,avg_participants_per_booking,revenue_last_90_days,revenue_trend,avg_overall_rating,avg_nps_score,avg_trainer_rating,latest_rating,min_rating_ever,has_given_feedback,rating_trend,num_course_categories,num_unique_courses,category_diversity_score,total_communications,communications_last_90_days,avg_communications_per_booking,churned,industry_encoded,company_size_encoded,region_encoded,account_manager_encoded
C0001,678.0,1341.0,44.7,14.0,0.0,0.0,0.0,51.0,61.0,0.0,500629.0,35759.21428571428,67770.0,68.0,4.857142857142857,0.0,0.21176683690600312,4.08,7.3,4.119999999999999,4.0,3.4,1.0,-0.028985507246376625,10.0,13.0,3.2359263506290326,43.0,6.0,3.0714285714285716,1,12,3,1,3
C0002,97.0,97.0,3.2333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,96387.0,96387.0,96387.0,19.0,19.0,0.0,0.0,4.233333333333333,8.080128205128204,4.333333333333333,4.2,3.6,0.0,0.0,1.0,1.0,0.0,7.0,7.0,7.0,1,5,0,1,2
C0003,778.0,1238.0,41.266666666666666,6.0,0.0,0.0,0.0,92.0,96.0,0.0,700195.0,116699.16666666667,224204.0,113.0,18.833333333333332,0.0,-0.5264729588390157,4.416666666666667,7.666666666666667,4.483333333333333,4.8,3.9,1.0,-0.051470588235294316,5.0,5.0,2.2516291673878226,18.0,0.0,3.0,1,5,1,0,1
C0004,334.0,810.0,27.0,13.0,0.0,0.0,0.0,39.666666666666664,54.0,0.16666666666666666,468180.0,36013.846153846156,107490.0,68.0,5.230769230769231,0.0,-0.505764721616335,4.050000000000001,7.875,4.0875,3.4,3.4,1.0,0.012422360248447159,8.0,12.0,2.873140679513133,18.0,4.0,1.3846153846153846,1,2,3,0,0
C0005,744.0,1162.0,38.733333333333334,11.0,0.0,0.0,0.0,41.8,55.0,0.2,708162.0,64378.36363636364,146835.0,91.0,8.272727272727273,0.0,0.17124897670800598,4.400000000000001,9.0,4.4222222222222225,4.2,3.8,1.0,0.052631578947368335,6.0,10.0,2.481714572986073,24.0,0.0,2.1818181818181817,1,7,2,0,4
C0006,1330.0,1783.0,59.43333333333333,14.0,0.0,0.0,0.0,34.84615384615385,51.0,0.0,1239895.0,88563.92857142857,125700.0,233.0,16.642857142857142,0.0,0.12099414624466705,4.35,8.4,4.609999999999999,4.6,3.8,1.0,0.013888888888888798,8.0,13.0,2.8962915290459277,30.0,1.0,2.142857142857143,1,10,1,3,2
C0007,22.0,578.0,19.266666666666666,14.0,1.0,2.0,4.0,42.76923076923077,60.0,-0.25,2429075.0,173505.35714285713,364945.0,346.0,24.714285714285715,322104.0,0.13883131314376468,4.0625,8.0,4.1625,4.3,3.5,1.0,0.08333333333333315,7.0,12.0,2.610577243331642,45.0,5.0,3.2142857142857144,0,2,0,3,4
C0008,1393.0,1441.0,48.03333333333333,2.0,0.0,0.0,0.0,48.0,48.0,0.0,187913.0,93956.5,94300.0,36.0,18.0,0.0,0.0,4.0,8.0,4.5,4.0,4.0,1.0,0.0,2.0,2.0,1.0,7.0,1.0,3.5,1,11,1,2,1
C0009,911.0,1193.0,39.766666666666666,6.0,0.0,0.0,0.0,56.4,64.0,0.0,452064.0,75344.0,118014.0,78.0,13.0,0.0,-0.27178787287970363,4.333333333333333,9.0,4.333333333333333,4.7,3.6,1.0,0.3055555555555556,5.0,6.0,2.2516291673878226,18.0,1.0,3.0,1,5,1,1,3
C0010,567.0,1227.0,40.9,8.0,0.0,0.0,0.0,94.28571428571429,108.0,0.0,356532.0,44566.5,99684.0,40.0,5.0,0.0,0.5955838993600804,4.085714285714285,7.714285714285714,4.271428571428571,3.7,3.7,1.0,0.022727272727272756,6.0,8.0,2.4056390622295662,28.0,2.0,3.5,1,6,3,3,2
C0011,56.0,359.0,11.966666666666667,7.0,0.0,1.0,3.0,50.5,62.0,0.3333333333333333,554744.0,79249.14285714286,124828.0,95.0,13.571428571428571,96396.0,-0.41613020088613034,4.4750000000000005,8.25,4.550000000000001,4.9,3.9,1.0,-0.03296703296703304,6.0,6.0,2.521640636343318,25.0,6.0,3.5714285714285716,0,9,1,0,3
