booking_id,client_id,booking_date,course_name,course_category,number_of_participants,revenue,payment_date,payment_status
B00001,C0001,2022-05-13,Internal Control Systems,Compliance & Quality,3,35628,2022-06-02,Paid
B00002,C0001,2022-07-08,Budgeting & Forecasting,Finance & Accounting,2,19250,2022-07-10,Paid
B00003,C0001,2022-08-12,Innovation Workshop,Team Building,2,15550,2022-09-05,Overdue
B00004,C0001,2022-10-07,Presentation Skills,Communication Skills,8,41648,2022-11-05,Pending
B00005,C0001,2022-11-19,Innovation Workshop,Team Building,5,35310,2022-12-09,Paid
B00006,C0001,2023-01-16,Time Management,Personal Development,2,11192,2023-02-09,Overdue
B00007,C0001,2023-03-05,Executive Leadership,Leadership & Management,6,67770,2023-03-06,Paid
B00008,C0001,2023-04-12,Internal Audit,Finance & Accounting,10,65660,2023-04-22,Paid
B00009,C0001,2023-05-30,Key Account Management,Sales & Marketing,5,28135,2023-05-31,Paid
B00010,C0001,2023-07-28,Office Management,Administration,8,42600,2023-08-21,Pending
B00011,C0001,2023-09-27,Employee Relations,Human Resources,8,57488,2023-10-22,Overdue
B00012,C0001,2023-11-21,Risk Management,Project Management,4,43012,2023-11-23,Paid
B00013,C0001,2024-01-15,Digital Marketing,Sales & Marketing,2,14490,2024-01-27,Paid
B00014,C0001,2024-03-06,HR Analytics,Human Resources,3,22896,2024-03-22,Paid
B00015,C0002,2025-10-08,Leadership Team Offsite,Team Building,19,96387,2025-10-25,Paid
B00016,C0003,2022-08-24,Virtual Team Building,Team Building,17,72131,2022-08-26,Paid
B00017,C0003,2022-11-28,Finance for Non-Finance,Finance & Accounting,23,178848,2022-12-19,Pending
B00018,C0003,2023-03-02,Agile & Scrum Fundamentals,Project Management,23,224204,2023-03-13,Paid
B00019,C0003,2023-05-23,Presentation Skills,Communication Skills,16,65456,2023-06-03,Paid
B00020,C0003,2023-08-24,Time Management,Personal Development,10,36100,2023-08-29,Paid
B00021,C0003,2023-11-27,Presentation Skills,Communication Skills,24,123456,2023-12-01,Paid
B00022,C0004,2023-10-26,Emotional Intelligence,Personal Development,4,16712,2023-10-26,Paid
B00023,C0004,2023-11-28,Business Communication,Communication Skills,3,14247,2023-12-12,Paid
B00024,C0004,2024-01-15,Digital Marketing,Sales & Marketing,2,12718,2024-01-21,Paid
B00025,C0004,2024-02-22,Virtual Team Building,Team Building,10,41360,2024-02-28,Paid
B00026,C0004,2024-03-24,Generative AI Essentials,AI & Technology,10,107490,2024-04-01,Paid
B00027,C0004,2024-05-14,Data Literacy for Leaders,AI & Technology,9,104427,2024-06-06,Pending
B00028,C0004,2024-07-03,Business Writing,Administration,2,10084,2024-07-21,Paid
B00029,C0004,2024-08-26,Executive Assistant Excellence,Administration,10,31260,2024-09-03,Paid
B00030,C0004,2024-09-24,Prince2 Foundation,Project Management,2,20652,2024-09-30,Paid
