client_id,last_booking_date,churned,churn_date
C0001,2024-03-06,Yes,2024-06-04
C0002,2025-10-08,Yes,2026-01-06
C0003,2023-11-27,Yes,2024-02-25
C0004,2025-02-13,Yes,2025-05-14
C0005,2023-12-31,Yes,2024-03-30
C0006,2022-05-24,Yes,2022-08-22
C0007,2025-12-22,No,
C0008,2022-03-22,Yes,2022-06-20
C0009,2023-07-17,Yes,2023-10-15
C0010,2024-06-25,Yes,2024-09-23
C0011,2025-11-18,No,
C0012,2023-02-11,Yes,2023-05-12
C0013,2021-10-22,Yes,2022-01-20
C0014,2023-10-01,Yes,2023-12-30
C0015,2025-11-21,No,
C0016,2024-04-09,Yes,2024-07-08
C0017,2024-05-29,Yes,2024-08-27
C0018,2024-03-21,Yes,2024-06-19
C0019,2024-02-06,Yes,2024-05-06
C0020,2025-11-12,No,
C0021,2024-12-10,Yes,2025-03-10
C0022,2024-11-16,Yes,2025-02-14
C0023,2025-09-16,Yes,2025-12-15
C0024,2025-04-02,Yes,2025-07-01
C0025,2025-07-17,Yes,2025-10-15
C0026,2025-09-09,Yes,2025-12-08
C0027,2024-10-22,Yes,2025-01-20
C0028,2025-01-01,Yes,2025-04-01
C0029,2025-06-29,Yes,2025-09-27
C0030,2025-10-28,No,
C0031,2024-07-11,Yes,2024-10-09
C0032,2025-12-01,No,
C0033,2025-10-26,No,
C0034,2023-02-16,Yes,2023-05-17
C0035,2022-08-16,Yes,2022-11-14
C0036,2024-06-03,Yes,2024-09-01
C0037,2025-11-23,No,
C0038,2025-10-31,No,
C0039,2025-12-11,No,
C0040,2025-06-16,Yes,2025-09-14
C0041,2025-12-08,No,
C0042,2023-08-01,Yes,2023-10-30
C0043,2025-10-30,No,
C0044,2023-10-06,Yes,2024-01-04
C0045,2023-08-03,Yes,2023-11-01
C0046,2023-02-25,Yes,2023-05-26
C0047,2025-05-02,Yes,2025-07-31
C0048,2024-08-04,Yes,2024-11-02
C0049,2022-10-23,Yes,2023-01-21
C0050,2025-10-21,No,
C0051,2025-04-29,Yes,2025-07-28
C0052,2023-09-12,Yes,2023-12-11
C0053,2021-11-09,Yes,2022-02-07
C0054,2022-08-14,Yes,2022-11-12
C0055,2023-11-25,Yes,2024-02-23
C0056,2024-04-02,Yes,2024-07-01
C0057,2024-03-09,Yes,2024-06-07
C0058,2023-11-22,Yes,2024-02-20
C0059,2025-12-22,No,
C0060,2022-10-27,Yes,2023-01-25
C0061,2025-01-19,Yes,2025-04-19
C0062,2025-11-16,No,
C0063,2023-07-20,Yes,2023-10-18
C0064,2022-02-12,Yes,2022-05-13
C0065,2024-08-25,Yes,2024-11-23
C0066,2025-08-10,Yes,2025-11-08
C0067,2024-06-18,Yes,2024-09-16
C0068,2022-07-22,Yes,2022-10-20
C0069,2024-11-03,Yes,2025-02-01
