feature,importance
days_since_last_booking,0.4389225
bookings_last_90_days,0.2824995
revenue_last_90_days,0.2783447
total_participants,0.00022153645
max_booking_value,1.1749222e-05
days_since_first_booking,0.0
bookings_last_180_days,0.0
months_as_client,0.0
total_bookings,0.0
bookings_last_30_days,0.0
booking_frequency_trend,0.0
max_gap_between_bookings,0.0
avg_days_between_bookings,0.0
avg_booking_value,0.0
total_revenue,0.0
avg_participants_per_booking,0.0
revenue_trend,0.0
avg_overall_rating,0.0
avg_nps_score,0.0
avg_trainer_rating,0.0
latest_rating,0.0
min_rating_ever,0.0
has_given_feedback,0.0
rating_trend,0.0
num_course_categories,0.0
num_unique_courses,0.0
category_diversity_score,0.0
total_communications,0.0
communications_last_90_days,0.0
avg_communications_per_booking,0.0
industry_encoded,0.0
company_size_encoded,0.0
region_encoded,0.0
account_manager_encoded,0.0
